ProlificID,r1_pred,r1_pred_t_First Click,r1_pred_t_Last Click,r1_pred_t_Page Submit,r1_pred_t_Click Count,r2_pred,r2_pred_t_First Click,r2_pred_t_Last Click,r2_pred_t_Page Submit,r2_pred_t_Click Count,r3_pred,r3_pred_t_First Click,r3_pred_t_Last Click,r3_pred_t_Page Submit,r3_pred_t_Click Count,r4_pred,r4_pred_t_First Click,r4_pred_t_Last Click,r4_pred_t_Page Submit,r4_pred_t_Click Count,r5_pred,r5_pret_t_First Click,r5_pret_t_Last Click,r5_pret_t_Page Submit,r5_pret_t_Click Count,r6_pred,r6_pred_t_First Click,r6_pred_t_Last Click,r6_pred_t_Page Submit,r6_pred_t_Click Count,r7_pred,r7_pred_t_First Click,r7_pred_t_Last Click,r7_pred_t_Page Submit,r7_pred_t_Click Count,attention_check,r8_pred,r8_pred_t_First Click,r8_pred_t_Last Click,r8_pred_t_Page Submit,r8_pred_t_Click Count,r9_pred,r9_pred_t_First Click,r9_pred_t_Last Click,r9_pred_t_Page Submit,r9_pred_t_Click Count,r10_pred,r10_pred_t_First Click,r10_pred_t_Last Click,r10_pred_t_Page Submit,r10_pred_t_Click Count,r11_v1,r11_pred_t_First Click,r11_pred_t_Last Click,r11_pred_t_Page Submit,r11_pred_t_Click Count,r12_pred,r12_pred_t_First Click,r12_pred_t_Last Click,r12_pred_t_Page Submit,r12_pred_t_Click Count,r13_pred,r13_pred_t_First Click,r13_pred_t_Last Click,r13_pred_t_Page Submit,r13_pred_t_Click Count,r14_pred,r14_pred_t_First Click,r14_pred_t_Last Click,r14_pred_t_Page Submit,r14_pred_t_Click Count,r15_pred,r15_pred_t_First Click,r15_pred_t_Last Click,r15_pred_t_Page Submit,r15_pred_t_Click Count,r16_pred,r16_pred_t_First Click,r16_pred_t_Last Click,r16_pred_t_Page Submit,r16_pred_t_Click Count,final_categorical,final_categorical_t_First Click,final_categorical_t_Last Click,final_categorical_t_Page Submit,final_categorical_t_Click Count,rewards,round,version
66a143fd0f809e6581c2c71e,2,1.729,1.729,3.414,1,1,1.73,4.838,5.226,2,2,0.746,0.746,1.423,1,2,0.697,0.697,1.349,1,1,0.811,0.811,1.387,1,1,1.073,1.073,1.645,1,1,0.787,0.787,1.515,1,11,2,0.891,0.891,1.519,1,2,0.738,0.738,1.338,1,1,0.816,0.816,1.342,1,1,0.815,0.815,1.424,1,1,0.623,0.623,1.162,1,1,0.782,0.782,1.281,1,1,0.711,0.711,1.2,1,2,0.593,0.593,1.084,1,2,0.707,0.707,1.193,1,2,3.505,3.505,4.1,1,0.45,17,3
5d54fef50a2a1600195cb7cf,1,1.381,3.842,5.151,5,2,1.189,1.189,1.915,1,1,0.886,0.886,1.741,1,2,1.012,1.875,2.222,2,2,0.917,0.917,2.009,1,2,0.496,0.496,1.343,1,2,0.6,0.6,1.724,1,11,2,1.009,1.009,2.149,1,2,0.633,0.633,1.311,1,1,0.866,0.866,1.914,1,2,0.734,0.734,2.249,1,1,1.238,1.937,2.202,2,2,0.532,0.532,1.598,1,2,1.589,1.589,2.219,1,2,0.859,0.859,1.646,1,2,0.78,1.177,2.157,2,2,3.973,4.361,5.229,2,0.4,17,1
60d2b465d78a9aac15d87288,1,4.323,4.323,5.173,1,2,2.808,2.808,3.533,1,2,1.546,1.546,4.113,1,1,0.773,0.773,1.679,1,1,5.212,5.212,5.951,1,2,4.547,6.565,6.986,2,2,1.913,1.913,2.82,1,11,1,0.915,0.915,1.755,1,1,1.235,1.235,1.793,1,2,0.916,0.916,1.691,1,1,1.605,1.605,2.31,1,2,1.932,1.932,2.689,1,1,0.882,1.666,2.366,2,2,0.716,0.716,1.89,1,2,0.934,0.934,2.175,1,2,1.457,2.174,2.629,2,2,3.589,3.589,4.342,1,0.35,17,1
5c28c65636efd800010f30fb,1,3.495,3.495,4.564,1,2,1.155,1.155,2.372,1,2,1.866,1.866,3.317,1,1,1.484,1.484,2.83,1,1,1.257,1.257,2.131,1,1,0.827,0.827,1.873,1,1,1.64,1.64,2.798,1,11,1,1.396,1.396,2.643,1,1,1.211,1.211,2.256,1,1,0.929,0.929,1.877,1,1,1.5,1.5,2.388,1,2,1.944,1.944,2.742,1,1,0.945,0.945,1.818,1,2,1.097,1.097,2.359,1,1,1.097,1.097,2.038,1,2,1.367,1.367,2.164,1,2,4.362,4.362,6.083,1,0.25,17,2
5bebbb9694bff800011dc37c,2,2.496,3.337,5.813,2,2,1.771,1.771,2.478,1,2,1.128,1.96,2.435,3,1,0.858,0.858,1.393,1,2,1.348,1.693,2.22,2,2,1.469,2.055,2.454,2,1,0.637,1.109,1.403,2,11,2,0.602,0.602,1.063,1,1,0.997,1.499,1.771,2,2,0.949,1.369,1.642,2,2,0.758,1.165,1.405,2,2,0.687,0.687,1.502,1,1,0.539,0.989,1.232,2,2,0.515,0.515,1.012,1,1,0.613,0.613,1.074,1,2,0.584,0.584,1.104,1,1,2.552,2.552,3.813,1,0.35,17,3
5fd4814a3f26f11eb67b686c,2,2.172,2.172,2.755,1,2,0.713,0.713,1.471,1,1,0.752,0.752,1.577,1,1,0.66,2.576,2.994,4,1,2.309,2.925,3.247,2,1,0.504,0.504,1.044,1,2,0.85,1.243,1.469,2,11,1,0.602,0.602,1.495,1,2,0.601,0.601,1.046,1,2,0.352,0.352,0.993,1,2,0.638,1.017,1.203,2,1,0.681,0.681,1.13,1,1,0.613,0.613,0.904,1,2,0.34,0.898,1.284,2,2,0.619,0.619,1.135,1,1,0.539,0.869,1.236,2,2,1.865,1.865,3,1,0.4,17,2
6672d7c8f27a75aa9998abab,2,2.756,4.423,5.029,3,1,1.337,1.838,2.677,2,2,0.868,1.736,2.701,2,2,0.7,0.7,1.458,1,2,0.665,0.665,2.136,1,2,0.587,0.587,1.26,1,2,0.808,0.808,1.981,1,11,2,0.586,0.586,1.291,1,2,0.598,2.234,3.102,2,2,0.586,0.586,1.5,1,2,0.764,0.764,1.301,1,2,0.682,0.682,1.456,1,2,0.539,0.539,1.078,1,2,0.562,0.562,1.317,1,2,0.632,0.632,1.337,1,2,0.6,0.6,1.255,1,2,2.72,2.72,3.275,1,0.45,17,3
610813ebfdb1b78559fb1ff9,1,3.155,3.155,3.998,1,1,3.982,3.982,4.818,1,1,8.394,8.394,9.141,1,1,7.321,7.321,8.292,1,1,16.902,16.902,17.633,1,1,5.371,5.371,6.03,1,1,11.577,11.577,12.412,1,11,1,15.147,15.147,16.19,1,1,1.226,1.226,1.981,1,2,0.882,0.882,1.773,1,2,1.168,1.168,1.979,1,1,1.61,1.61,2.444,1,1,0.984,0.984,1.923,1,1,0.794,0.794,1.798,1,1,0.749,0.749,1.647,1,2,1.644,1.644,2.393,1,2,3.254,3.254,4.329,1,0.45,17,2
5a5aa53be0cf3d000126790a,2,4.006,4.006,4.952,1,2,2.004,2.004,2.825,1,1,2.318,2.318,2.963,1,1,4.164,4.164,7.639,1,2,1.638,1.638,2.385,1,1,1.469,1.469,2.148,1,1,3.754,3.754,4.528,1,11,2,1.528,1.528,2.43,1,1,2.348,2.899,3.56,2,2,1.513,2.033,2.273,2,2,3.05,3.05,3.502,1,1,1.667,1.667,2.434,1,2,1.491,1.491,2.147,1,1,1.945,1.945,2.538,1,2,1.354,1.354,1.962,1,2,0.495,0.495,0.944,1,2,3.4,3.4,4.088,1,0.35,17,1
667e0253d6563ab8acaf5803,1,5.325,5.325,6.049,1,1,2.646,2.646,3.446,1,1,2.3,2.3,2.9,1,1,1.417,2.013,2.23,2,1,1.323,1.323,2.564,1,1,3.166,3.166,3.713,1,2,3.151,3.151,3.683,1,11,2,2.563,2.563,3.132,1,1,3.745,3.745,4.259,1,2,2.187,3.655,4.245,2,2,1.69,1.69,2.087,1,2,2.154,2.154,2.685,1,2,2.684,3.284,3.536,2,2,1.239,1.239,1.705,1,2,1.609,1.609,2.078,1,2,0.747,0.747,1.303,1,2,1.758,1.758,2.406,1,0.35,17,3
66cccd118223bbe369dc5c93,2,5.747,5.747,6.475,1,2,9.556,9.556,10.1,1,2,4.888,4.888,5.569,1,1,1.443,1.443,2.136,1,2,5.748,6.508,7.001,2,1,1.515,2.082,2.099,2,2,8.453,9.011,9.023,2,11,2,2.688,3.254,3.27,2,1,1.155,1.155,1.771,1,1,3.591,3.591,4.098,1,1,1.706,1.706,2.323,1,2,1.149,1.572,2.083,2,1,7.863,7.863,8.779,1,2,1.195,1.195,1.762,1,1,1.511,1.511,2.001,1,2,5.372,5.372,5.958,1,2,8.839,17.888,18.993,2,0.35,17,2
664b8bef90cdb799d4c4c35d,2,4.189,4.189,5.032,1,1,2.366,2.366,2.982,1,2,0.795,0.795,1.4,1,1,1.017,1.017,1.712,1,2,0.8,0.8,1.459,1,2,1.111,1.111,2.17,1,1,0.859,0.859,1.45,1,11,2,1.046,1.677,1.806,2,2,0.828,0.828,1.531,1,1,0.895,0.895,1.607,1,1,0.667,0.667,1.242,1,2,1.548,1.548,2.28,1,2,2.897,2.897,3.406,1,1,1.417,1.417,1.901,1,1,1,1,1.611,1,1,0.553,0.553,1.089,1,2,4.173,4.173,4.771,1,0.4,17,1
66744822576b11d40628191b,2,4.547,4.547,5.904,1,2,2.582,2.582,3.586,1,2,1.954,1.954,3.14,1,1,1.864,1.864,3.034,1,2,1.214,1.214,2.284,1,2,1.541,1.541,2.653,1,2,1.45,1.45,2.466,1,11,2,0.999,0.999,2.185,1,2,1.032,1.032,2.395,1,2,1.739,2.423,3.985,2,2,1.304,1.304,2.565,1,2,1.83,1.83,3.273,1,2,1.076,1.076,2.447,1,1,1.901,1.901,3.391,1,1,1.361,1.361,2.446,1,1,1.291,1.291,2.497,1,2,4.429,4.429,5.673,1,0.5,17,3
55ea70c37480920010aa9982,1,3.213,3.213,4.871,1,2,2.027,2.027,3.219,1,2,3.317,3.317,4.273,1,2,1.517,1.517,2.495,1,2,1.649,1.649,3.277,1,2,1.485,1.485,2.795,1,2,2.323,2.323,3.085,1,11,2,2.422,2.422,3.242,1,2,2.278,2.278,3.042,1,2,5.671,5.671,6.369,1,2,3.74,3.74,4.366,1,2,3.361,3.361,3.935,1,2,3.682,3.682,4.352,1,2,2.611,2.611,3.351,1,2,1.771,1.771,2.647,1,2,1.823,1.823,2.391,1,1,4.305,4.305,6.756,1,0.45,17,1
5cdad620eae6f70019d4e950,1,6.032,6.363,7.103,2,2,1.4,2.191,4.475,2,2,1.007,1.5,2.661,2,1,1.179,2.996,3.534,2,2,1.51,2.951,3.2,2,1,0.582,1.641,2,2,1,1.099,1.634,2.222,2,11,2,2.266,2.691,3.139,2,2,0.801,1.341,1.7,2,2,0.896,2.961,3.485,4,1,0.562,0.915,1.378,2,2,0.878,1.163,1.599,2,2,0.545,0.862,1.335,2,1,0.504,1.462,1.855,3,1,0.423,1.07,1.4,2,2,0.479,1.17,1.475,3,2,2.584,2.584,2.966,1,0.25,17,2
67558204d75dd7351fe9d17e,2,5.091,5.091,7.089,1,1,6.007,6.007,7.018,1,2,4.2,4.2,5.073,1,2,6.244,6.244,7.184,1,1,3.295,3.295,4.686,1,1,7.38,8.487,9.375,2,1,4.571,4.571,5.871,1,11,2,3.477,3.477,5.184,1,1,8.26,26.621,28.981,4,1,8.875,8.875,10.54,1,2,1.133,1.994,3.424,2,2,6.535,6.535,7.848,1,1,1.692,1.692,5.347,1,2,3.931,3.931,5.188,1,2,7.921,7.921,9.123,1,2,4.857,4.857,5.957,1,1,3.744,3.744,4.9,1,0.65,17,1
61222038c2048b50449284a1,1,8.461,8.461,10.763,1,1,3.512,3.512,4.757,1,2,2.807,2.807,4.181,1,2,1.835,1.835,4.264,1,1,4.451,4.451,5.957,1,1,1.886,1.886,3.61,1,1,2.127,2.127,3.954,1,11,2,4.11,4.11,5.577,1,1,6.647,6.647,7.832,1,1,2.732,2.732,4.07,1,2,6.613,6.613,8.205,1,2,3.947,3.947,5.026,1,2,2.285,2.285,4.671,1,1,4.657,4.657,6.06,1,2,2.101,2.101,3.389,1,2,2.011,2.011,3.422,1,2,3.68,3.68,5.34,1,0.4,17,2
6595be83dbc6d36b1ef53d28,1,4.478,4.478,5.778,1,1,2.554,2.554,3.726,1,2,1.665,2.398,2.843,2,1,0.577,0.577,3.102,1,2,5.385,5.385,7.03,1,2,1.424,1.424,2.575,1,2,1.594,1.594,2.699,1,11,2,0.869,0.869,4.084,1,2,2.528,2.528,3.734,1,2,0.768,0.768,2.005,1,2,0.955,0.955,1.725,1,2,0.54,0.54,2.13,1,2,1.169,1.169,2.749,1,2,0.641,0.641,1.804,1,2,0.983,0.983,2.355,1,2,0.798,1.204,2.738,2,2,4.522,4.522,5.923,1,0.35,17,3
6660b995604968ce1d8ab1c9,1,12.403,15.071,17.615,2,1,3.921,7.296,8.603,2,1,2.477,2.477,4.754,1,1,3.268,3.268,5.223,1,1,3.078,3.078,4.849,1,2,1.512,1.512,2.789,1,2,1.608,1.608,2.72,1,11,2,5.273,6.295,9.33,2,2,7.131,7.131,8.21,1,2,1.582,1.582,2.523,1,2,2.12,2.12,3.789,1,2,2.106,2.106,3.347,1,2,9.525,9.525,10.931,1,1,7.609,7.609,9.506,1,1,5.287,5.287,7.374,1,2,2.852,2.852,6.635,1,1,5.868,5.868,7.062,1,0.35,17,2
