ProlificID,r1_pred,r1_pred_t_First Click,r1_pred_t_Last Click,r1_pred_t_Page Submit,r1_pred_t_Click Count,r2_pred,r2_pred_t_First Click,r2_pred_t_Last Click,r2_pred_t_Page Submit,r2_pred_t_Click Count,r3_pred,r3_pred_t_First Click,r3_pred_t_Last Click,r3_pred_t_Page Submit,r3_pred_t_Click Count,r4_pred,r4_pred_t_First Click,r4_pred_t_Last Click,r4_pred_t_Page Submit,r4_pred_t_Click Count,r5_pred,r5_pret_t_First Click,r5_pret_t_Last Click,r5_pret_t_Page Submit,r5_pret_t_Click Count,r6_pred,r6_pred_t_First Click,r6_pred_t_Last Click,r6_pred_t_Page Submit,r6_pred_t_Click Count,r7_pred,r7_pred_t_First Click,r7_pred_t_Last Click,r7_pred_t_Page Submit,r7_pred_t_Click Count,attention_check,r8_pred,r8_pred_t_First Click,r8_pred_t_Last Click,r8_pred_t_Page Submit,r8_pred_t_Click Count,r9_pred,r9_pred_t_First Click,r9_pred_t_Last Click,r9_pred_t_Page Submit,r9_pred_t_Click Count,r10_pred,r10_pred_t_First Click,r10_pred_t_Last Click,r10_pred_t_Page Submit,r10_pred_t_Click Count,r11_v1,r11_pred_t_First Click,r11_pred_t_Last Click,r11_pred_t_Page Submit,r11_pred_t_Click Count,r12_pred,r12_pred_t_First Click,r12_pred_t_Last Click,r12_pred_t_Page Submit,r12_pred_t_Click Count,r13_pred,r13_pred_t_First Click,r13_pred_t_Last Click,r13_pred_t_Page Submit,r13_pred_t_Click Count,r14_pred,r14_pred_t_First Click,r14_pred_t_Last Click,r14_pred_t_Page Submit,r14_pred_t_Click Count,r15_pred,r15_pred_t_First Click,r15_pred_t_Last Click,r15_pred_t_Page Submit,r15_pred_t_Click Count,r16_pred,r16_pred_t_First Click,r16_pred_t_Last Click,r16_pred_t_Page Submit,r16_pred_t_Click Count,r17_pred,r17_pred_t_First Click,r17_pred_t_Last Click,r17_pred_t_Page Submit,r17_pred_t_Click Count,r18_pred,r18_pred_t_First Click,r18_pred_t_Last Click,r18_pred_t_Page Submit,r18_pred_t_Click Count,r19_pred,r19_pred_t_First Click,r19_pred_t_Last Click,r19_pred_t_Page Submit,r19_pred_t_Click Count,r20_pred,r20_pred_t_First Click,r20_pred_t_Last Click,r20_pred_t_Page Submit,r20_pred_t_Click Count,final_categorical,final_categorical_t_First Click,final_categorical_t_Last Click,final_categorical_t_Page Submit,final_categorical_t_Click Count,rewards,round,version
669ff53556ef9a4ea2635e9a,1,4.678,4.678,5.652,1,1,1.224,1.224,1.891,1,1,2.496,2.496,3.146,1,1,0.832,0.832,1.224,1,1,1.005,1.005,1.424,1,1,0.563,2.012,2.536,2,1,0.983,0.983,1.669,1,11,1,1.004,1.004,1.453,1,1,0.757,0.757,1.201,1,2,0.852,1.26,1.687,2,2,0.943,0.943,1.238,1,1,1.041,1.464,1.88,2,1,0.538,0.538,1.003,1,1,0.778,0.778,1.05,1,1,0.823,0.823,1.25,1,2,0.902,0.902,1.303,1,1,1.023,1.023,1.554,1,1,0.587,0.587,1.004,1,2,0.629,0.629,0.962,1,2,0.54,0.962,1.46,2,2,2.829,2.829,3.399,1,0.35,21,3
60fdf7bd91841ca8bafd320b,1,2.782,2.782,3.642,1,2,1.628,1.628,2.888,1,2,1.072,1.072,1.7,1,2,0.772,0.772,1.559,1,1,0.931,0.931,1.678,1,2,1.274,1.274,1.9,1,2,1.672,1.672,2.477,1,11,2,1.01,1.01,1.601,1,2,0.988,1.514,2.226,2,1,0.951,0.951,1.639,1,2,0.774,0.774,1.674,1,2,0.791,0.791,1.631,1,1,0.855,0.855,1.491,1,1,0.681,0.681,1.446,1,2,0.863,0.863,1.68,1,2,1.073,1.073,1.787,1,1,1.267,2.047,2.42,2,1,0.678,0.678,1.422,1,2,0.618,0.618,1.421,1,2,0.69,0.69,1.4,1,2,1.389,1.389,2.248,1,0.35,21,1
62e05a40c77214b0772d5596,1,2.144,2.144,3.169,1,2,1,1,1.9,1,2,1.43,2.917,3.793,2,2,1.062,1.062,1.98,1,2,1.732,1.732,2.654,1,2,1.565,1.565,2.346,1,2,1.336,2.667,3.882,2,11,2,1.928,1.928,3.035,1,2,1.324,1.324,2.294,1,2,1.846,1.846,2.777,1,2,2.097,2.097,3.347,1,2,2.403,2.403,3.24,1,2,1.612,1.612,2.426,1,2,1.219,1.219,2.231,1,1,1.507,1.507,2.594,1,2,1.3,1.3,2.528,1,2,1.301,1.301,2.448,1,1,1.354,1.354,2.426,1,1,1.305,1.305,2.159,1,1,1.382,1.382,2.201,1,1,3.995,3.995,5.057,1,0.45,21,1
6648183d664a1d8dd22f2760,2,1.295,1.295,1.669,1,2,1.747,1.747,2.269,1,2,0.925,0.925,1.833,1,2,3.727,3.727,4.141,1,2,4.739,4.739,5.17,1,2,1.132,1.132,1.638,1,2,0.958,0.958,6.464,1,11,2,0.869,0.869,1.443,1,2,0.762,0.762,1.236,1,2,1.004,1.004,1.979,1,2,1.068,1.876,2.194,2,2,0.728,0.728,1.431,1,2,0.671,0.671,1.451,1,2,1.301,1.301,2.453,1,2,0.952,0.952,1.594,1,2,0.79,0.79,1.61,1,2,1.072,1.842,2.228,2,2,0.961,1.285,2.529,2,2,0.514,0.514,1.556,1,2,0.988,0.988,1.854,1,2,1.199,1.199,2.066,1,0.6,21,2
5dd321de568ca5331021fb2b,1,7.413,7.413,9.872,1,2,1.273,1.273,2.462,1,2,1.799,1.799,3.455,1,1,1.221,4.139,4.789,3,1,0.724,0.724,1.24,1,1,0.604,0.604,1.919,1,2,1.028,1.028,2.5,1,11,2,0.673,0.673,1.246,1,2,0.61,0.61,1.093,1,2,0.569,0.569,1.152,1,2,0.594,1.11,1.807,2,1,0.572,0.572,1.006,1,1,0.668,0.668,1.258,1,1,1.283,1.283,1.917,1,1,1.02,1.02,1.571,1,1,0.593,0.593,1.049,1,1,0.944,0.944,1.492,1,1,0.797,0.797,1.312,1,1,0.66,0.66,1.184,1,1,1.954,1.954,2.395,1,1,3.716,3.716,4.337,1,0.25,21,3
6639a145d0376e4c7ad7ba53,1,4.327,4.327,5.152,1,1,1.824,1.824,3.225,1,2,1.54,1.54,2.456,1,2,1.148,1.148,4.505,1,2,0.886,0.886,1.831,1,2,0.883,0.883,1.898,1,2,0.989,0.989,1.996,1,11,2,0.876,0.876,2.16,1,2,1.196,1.196,2.801,1,2,0.894,0.894,1.903,1,2,1.695,2.802,3.873,2,2,0.784,0.784,1.849,1,2,1.201,1.201,2.011,1,2,2.316,2.316,3.254,1,2,1.017,1.017,1.901,1,2,0.702,0.702,1.877,1,1,1.063,1.063,1.976,1,2,1.196,1.196,2.001,1,2,1.742,1.742,2.774,1,2,0.823,0.823,1.572,1,2,2.261,2.261,3.175,1,0.45,21,1
66901a9145404fe6289a0b2d,1,2.574,4.105,4.565,3,2,2.496,3.179,3.647,2,1,3.271,5.055,5.077,3,1,2.232,2.232,2.937,1,2,2.311,2.311,2.965,1,1,1.295,1.295,1.85,1,1,2.288,2.288,2.862,1,11,1,1.794,1.794,2.317,1,2,0.974,0.974,1.495,1,2,2.866,2.866,3.456,1,2,3.447,3.447,4.102,1,2,3.225,3.225,3.882,1,2,1.896,1.896,2.417,1,1,1.693,1.693,2.227,1,2,2.179,2.179,2.665,1,2,3.756,3.756,4.437,1,1,3.012,3.012,3.522,1,1,1.473,1.473,1.979,1,1,1.57,1.57,2.162,1,2,2.642,2.642,3.27,1,2,3.092,3.945,3.961,2,0.2,21,3
5e5e5b2488479216d9171d1b,1,2.94,2.94,3.957,1,1,1.273,1.273,2.8,1,2,1.668,1.668,2.485,1,2,1.3,1.3,2.117,1,2,1.371,1.371,2.235,1,2,1.786,1.786,2.946,1,2,1.224,1.224,2.016,1,11,2,1.077,1.077,1.932,1,2,1.256,1.256,2.041,1,2,0.679,0.679,1.719,1,2,1.379,1.379,2.578,1,2,1.285,1.285,2.367,1,2,1.373,1.373,2.229,1,2,1.156,1.156,1.995,1,2,1.556,1.556,2.668,1,2,0.693,0.693,1.389,1,2,1.088,1.088,1.8,1,2,0.993,0.993,1.752,1,2,1.483,1.483,2.538,1,2,1.489,1.489,2.248,1,2,2.572,2.572,3.627,1,0.5,21,2
5c377e2f5c297200015669e6,1,2.166,2.166,3.155,1,1,1.052,1.052,1.65,1,2,0.73,0.73,1.224,1,1,0.797,0.797,1.325,1,2,1.936,1.936,2.438,1,1,0.635,0.635,1.061,1,1,1.012,1.012,1.618,1,11,1,1.208,1.208,1.647,1,2,0.795,0.795,1.286,1,1,0.832,0.832,1.416,1,1,0.627,0.627,1.143,1,2,0.637,0.637,1.001,1,2,0.524,0.524,0.932,1,2,0.624,0.624,1.827,1,2,0.592,0.592,1.051,1,1,0.984,0.984,1.562,1,2,0.797,0.797,1.366,1,1,0.704,0.704,1.192,1,1,0.773,0.773,1.29,1,2,0.786,0.786,1.201,1,2,4.681,4.681,5.323,1,0.45,21,3
663828aac348f319e329b129,2,4.416,4.416,5.162,1,2,4.704,4.704,5.421,1,1,3.73,3.73,4.312,1,2,2.357,2.357,3.018,1,1,1.834,1.834,2.463,1,1,1.143,1.143,1.756,1,2,0.718,0.718,1.273,1,11,2,1.087,1.087,1.796,1,2,0.985,0.985,1.599,1,2,0.979,0.979,1.571,1,1,0.648,0.648,1.1,1,2,3.071,3.071,3.654,1,1,0.815,0.815,1.159,1,1,0.752,0.752,1.448,1,2,1.455,1.455,2.066,1,1,1.945,1.945,2.55,1,2,1.066,1.066,1.53,1,1,0.822,1.666,2.23,2,2,0.677,0.677,1.058,1,1,0.687,0.687,1.076,1,2,4.34,4.34,4.905,1,0.55,21,3
