ProlificID,r1_pred,r1_pred_t_First Click,r1_pred_t_Last Click,r1_pred_t_Page Submit,r1_pred_t_Click Count,r2_pred,r2_pred_t_First Click,r2_pred_t_Last Click,r2_pred_t_Page Submit,r2_pred_t_Click Count,r3_pred,r3_pred_t_First Click,r3_pred_t_Last Click,r3_pred_t_Page Submit,r3_pred_t_Click Count,r4_pred,r4_pred_t_First Click,r4_pred_t_Last Click,r4_pred_t_Page Submit,r4_pred_t_Click Count,r5_pred,r5_pret_t_First Click,r5_pret_t_Last Click,r5_pret_t_Page Submit,r5_pret_t_Click Count,r6_pred,r6_pred_t_First Click,r6_pred_t_Last Click,r6_pred_t_Page Submit,r6_pred_t_Click Count,r7_pred,r7_pred_t_First Click,r7_pred_t_Last Click,r7_pred_t_Page Submit,r7_pred_t_Click Count,attention_check,r8_pred,r8_pred_t_First Click,r8_pred_t_Last Click,r8_pred_t_Page Submit,r8_pred_t_Click Count,r9_pred,r9_pred_t_First Click,r9_pred_t_Last Click,r9_pred_t_Page Submit,r9_pred_t_Click Count,r10_pred,r10_pred_t_First Click,r10_pred_t_Last Click,r10_pred_t_Page Submit,r10_pred_t_Click Count,r11_v1,r11_pred_t_First Click,r11_pred_t_Last Click,r11_pred_t_Page Submit,r11_pred_t_Click Count,r12_pred,r12_pred_t_First Click,r12_pred_t_Last Click,r12_pred_t_Page Submit,r12_pred_t_Click Count,r13_pred,r13_pred_t_First Click,r13_pred_t_Last Click,r13_pred_t_Page Submit,r13_pred_t_Click Count,r14_pred,r14_pred_t_First Click,r14_pred_t_Last Click,r14_pred_t_Page Submit,r14_pred_t_Click Count,r15_pred,r15_pred_t_First Click,r15_pred_t_Last Click,r15_pred_t_Page Submit,r15_pred_t_Click Count,r16_pred,r16_pred_t_First Click,r16_pred_t_Last Click,r16_pred_t_Page Submit,r16_pred_t_Click Count,r17_pred,r17_pred_t_First Click,r17_pred_t_Last Click,r17_pred_t_Page Submit,r17_pred_t_Click Count,r18_pred,r18_pred_t_First Click,r18_pred_t_Last Click,r18_pred_t_Page Submit,r18_pred_t_Click Count,r19_pred,r19_pred_t_First Click,r19_pred_t_Last Click,r19_pred_t_Page Submit,r19_pred_t_Click Count,r20_pred,r20_pred_t_First Click,r20_pred_t_Last Click,r20_pred_t_Page Submit,r20_pred_t_Click Count,r21_pred,r21_pred_t_First Click,r21_pred_t_Last Click,r21_pred_t_Page Submit,r21_pred_t_Click Count,r22_pred,r22_pred_t_First Click,r22_pred_t_Last Click,r22_pred_t_Page Submit,r22_pred_t_Click Count,r23_pred,r23_pred_t_First Click,r23_pred_t_Last Click,r23_pred_t_Page Submit,r23_pred_t_Click Count,r24_pred,r24_pred_t_First Click,r24_pred_t_Last Click,r24_pred_t_Page Submit,r24_pred_t_Click Count,final_categorical,final_categorical_t_First Click,final_categorical_t_Last Click,final_categorical_t_Page Submit,final_categorical_t_Click Count,rewards,round,version
63d13b44f511eff0aef876f2,1,2.752,2.752,3.622,1,1,1.081,1.081,1.757,1,1,1.156,1.864,2.616,2,2,0.977,0.977,1.878,1,2,0.859,0.859,2.008,1,1,0.482,0.482,1.184,1,2,0.608,0.608,1.21,1,11,2,0.38,0.38,1.013,1,2,0.687,0.687,1.358,1,2,0.436,0.436,1.035,1,2,0.674,0.674,1.102,1,2,0.744,0.744,1.383,1,2,0.525,1.14,1.454,2,2,0.498,0.498,1.223,1,2,0.316,0.316,1.084,1,2,0.727,0.727,1.301,1,2,0.928,0.928,1.857,1,2,0.615,0.615,1.227,1,2,0.556,0.556,1.058,1,2,0.491,0.491,1.027,1,2,0.547,0.547,1.022,1,2,0.463,0.463,0.909,1,2,0.456,0.456,0.951,1,2,0.859,0.859,1.414,1,2,2.169,2.169,5.866,1,0.7,25,3
62838cdc775f6094ddf0664b,2,4.962,4.962,6.219,1,2,0.845,0.845,1.633,1,2,1.042,1.042,1.788,1,2,0.73,0.73,1.516,1,2,0.926,0.926,1.608,1,2,0.777,0.777,1.396,1,1,0.921,0.921,1.49,1,11,2,1.313,1.313,1.862,1,2,2.187,2.187,3.932,1,2,0.46,0.46,1.16,1,2,0.79,0.79,1.651,1,2,0.467,0.467,1.054,1,1,0.789,0.789,1.269,1,1,0.893,0.893,1.46,1,2,1.379,1.379,2.068,1,2,0.692,0.692,1.242,1,2,0.755,0.755,1.404,1,2,0.77,1.181,1.409,2,2,0.532,0.532,1.192,1,2,0.949,0.949,1.454,1,2,0.63,1.4,1.933,2,2,1.001,1.001,1.489,1,2,0.686,0.686,1.267,1,1,0.749,0.749,1.428,1,2,2.247,2.247,3.417,1,0.6,25,2
66199822c723a66ae0d5fc24,1,1.877,1.877,3.196,1,1,1.449,1.449,2.864,1,1,1.377,1.377,2.369,1,1,1.442,1.442,2.686,1,2,1.12,1.12,1.951,1,2,0.53,0.53,1.186,1,2,0.574,0.574,1.383,1,11,1,0.808,0.808,1.348,1,2,0.994,0.994,1.608,1,2,0.662,0.662,1.201,1,2,0.586,0.586,1.227,1,2,0.648,0.648,1.732,1,2,1.066,1.066,1.659,1,2,1.222,1.222,2.015,1,1,1.755,1.755,2.533,1,1,0.743,0.743,1.425,1,1,0.801,0.801,1.44,1,1,0.803,0.803,1.581,1,1,0.748,0.748,1.435,1,1,1.228,1.228,1.878,1,1,0.831,0.831,1.467,1,1,0.637,0.637,1.337,1,1,0.7,0.7,1.38,1,1,0.74,0.74,1.329,1,1,2.887,2.887,3.625,1,0.35,25,1
610183a632cc6b209ed97064,2,5.848,5.848,6.948,1,2,1.1,1.1,2.179,1,2,0.709,0.709,1.576,1,2,1.116,1.116,2.137,1,2,2.337,2.337,3.861,1,2,0.659,0.659,1.512,1,2,0.914,0.914,1.661,1,11,2,0.763,0.763,1.634,1,1,1.125,1.125,1.722,1,2,0.736,0.736,1.518,1,1,1.017,1.017,1.659,1,2,0.722,0.722,1.4,1,2,0.536,0.536,1.263,1,2,0.632,0.632,1.111,1,2,0.525,0.525,1.129,1,2,0.446,0.446,1.039,1,2,1.047,1.047,1.551,1,2,2.143,2.143,2.929,1,2,1.363,1.363,2.001,1,2,0.835,0.835,1.324,1,1,0.351,0.351,0.8,1,1,0.582,0.582,1.258,1,2,0.64,0.64,1.245,1,1,0.417,0.417,0.889,1,2,3.095,3.095,3.728,1,0.65,25,1
66464eb719b741dd6dcdc7ed,2,5.667,5.667,6.576,1,1,2.932,2.932,3.695,1,1,1.749,1.749,3.074,1,2,0.557,1.082,1.673,2,2,1.439,1.439,2.207,1,1,1.982,1.982,2.725,1,2,0.786,0.786,1.588,1,11,1,1.407,1.407,2.603,1,1,1.534,1.534,2.187,1,1,0.552,1.292,1.663,2,2,0.801,0.801,1.486,1,2,0.738,0.738,1.621,1,1,0.705,0.705,1.481,1,2,0.642,0.642,1.396,1,2,1.015,1.015,1.859,1,1,0.826,0.826,1.681,1,2,1.244,1.244,1.985,1,2,1.039,1.039,2.031,1,2,1.605,1.605,2.419,1,2,0.746,0.746,1.543,1,1,2.155,2.155,2.718,1,1,0.792,0.792,1.577,1,2,0.815,0.815,1.607,1,2,1.021,1.021,1.848,1,2,3.672,4.175,4.877,2,0.4,25,3
672c74f54295206bddb0146a,1,1.519,1.519,2.224,1,1,0.967,0.967,1.518,1,1,1.105,1.105,2.132,1,1,0.782,0.782,1.466,1,1,0.671,0.671,1.391,1,1,0.875,0.875,1.716,1,1,0.649,0.649,1.237,1,11,1,0.704,1.276,1.829,2,1,0.705,0.705,1.354,1,1,0.82,0.82,1.452,1,1,0.617,0.617,1.364,1,1,0.93,0.93,1.563,1,1,0.9,0.9,1.577,1,1,1.002,1.002,1.619,1,1,0.879,0.879,1.55,1,1,0.899,0.899,1.47,1,1,0.567,0.567,1.244,1,1,0.506,0.506,1.471,1,1,0.887,0.887,1.501,1,1,0.586,0.586,1.335,1,1,0.464,0.464,1.166,1,1,0.466,0.466,1.395,1,1,1.502,1.502,2.322,1,1,0.429,0.429,1.184,1,2,2.475,2.475,3.786,1,0.5,25,2
630981b0f861918e8174a43e,2,5.136,5.136,6.141,1,2,1.078,1.078,1.847,1,2,1.076,1.076,1.981,1,2,0.717,0.717,1.248,1,2,1.128,1.128,1.89,1,2,0.755,0.755,1.483,1,2,0.714,1.209,1.982,2,11,2,1.007,1.007,1.774,1,2,0.803,0.803,1.692,1,2,0.976,0.976,2.154,1,2,1.387,1.387,2.115,1,2,1.101,1.101,2.124,1,2,0.72,0.72,1.498,1,2,0.805,0.805,1.772,1,2,0.973,0.973,1.84,1,2,0.683,0.683,1.413,1,2,1.893,1.893,4.567,1,2,1.01,1.01,1.802,1,2,0.724,0.724,1.446,1,2,0.578,0.578,1.394,1,2,1.14,1.14,2.318,1,2,0.699,0.699,1.485,1,2,0.572,0.572,1.199,1,2,0.419,0.419,0.989,1,2,1.436,1.436,2.876,1,0.7,25,3
663c0a95bceed7450360f00e,2,2.193,2.193,3.56,1,2,2.119,2.119,3.164,1,2,1.6,1.6,3.131,1,2,0.856,0.856,1.668,1,2,1.557,1.557,2.917,1,2,1.444,1.444,2.616,1,2,0.558,0.558,1.476,1,11,1,0.759,0.759,1.706,1,2,0.952,0.952,1.772,1,1,0.654,0.654,1.304,1,1,0.952,0.952,1.868,1,1,0.818,0.818,1.473,1,1,0.732,0.732,1.574,1,1,0.666,0.666,1.545,1,1,0.401,0.401,1.325,1,2,0.697,0.697,1.329,1,1,0.878,1.62,2.035,2,1,0.778,0.778,1.364,1,1,0.649,0.649,1.416,1,2,0.858,0.858,1.669,1,2,2.785,2.785,3.771,1,2,0.842,0.842,1.402,1,2,0.636,0.636,1.373,1,2,0.579,0.579,1.458,1,2,52.598,52.598,53.59,1,0.85,25,2
66536bcd1febb9fc714b6922,1,7.472,7.472,9.255,1,1,1.379,1.379,2.364,1,1,1.562,1.562,2.642,1,2,1.581,2.801,3.555,2,1,0.917,0.917,1.751,1,1,0.673,1.045,1.72,2,1,1.007,1.007,1.889,1,11,1,0.796,0.796,2.227,1,1,0.903,0.903,1.657,1,1,0.644,0.644,1.638,1,1,0.628,0.628,1.39,1,1,0.662,0.662,1.709,1,1,1.237,1.237,2.3,1,1,1.111,1.111,2.061,1,1,1.205,1.205,2.119,1,1,1.092,1.092,1.878,1,1,1.038,1.038,2.02,1,1,1.108,1.108,1.738,1,1,0.906,0.906,1.58,1,2,0.547,0.547,1.273,1,2,0.773,1.289,1.82,2,2,0.893,0.893,1.679,1,2,0.88,0.88,1.538,1,2,0.99,0.99,1.74,1,2,2.187,2.187,3.009,1,0.65,25,2
6018a5c0e1600b187ccb8693,1,3.232,3.232,4.553,1,1,0.739,0.739,1.697,1,1,4.732,4.732,6.472,1,2,1.105,1.105,1.642,1,2,0.859,0.859,1.47,1,2,0.686,0.686,1.42,1,2,1.456,1.456,2.265,1,11,2,1.441,1.441,2.01,1,1,1.043,1.043,1.7,1,2,1.027,1.027,1.861,1,1,1.021,1.021,1.868,1,1,1.048,1.048,2.115,1,2,1.032,1.032,1.569,1,1,1.22,1.22,1.773,1,1,1.093,1.093,1.705,1,2,1.579,1.579,3.235,1,1,1.311,1.311,1.987,1,2,0.578,0.578,1.233,1,2,0.575,0.575,1.447,1,1,0.513,0.513,1.1,1,2,0.455,0.455,1.2,1,2,0.55,0.55,1.121,1,2,0.962,0.962,1.688,1,2,0.576,0.576,1.267,1,1,3.921,3.921,4.744,1,0.65,25,1
