instance_id	agent	mems	confed_seed	confed_start
1165	1165_2841	emma;bob;emma;sarah;ashley;na	mary	11
1165	1165_2839	sarah;emma;emma;emma;carrie;emma;sarah	mary	11
1165	1165_2845	emma;emma;sarah;emma;emma;emma;emma;na	mary	11
1165	1165_2843	emma;sarah;emma;emma	mary	11
1165	1165_2837	mary;emma;emma;emma;jessica;emma	mary	11
1165	1165_2836	emma;sara;emma;emma;emma;emma;rebecca	mary	11
1165	1165_2840	emma;emma;emma;sarah;amanda	mary	11
1165	1165_2838	emma;alpha;mary;sarah;emma;na	mary	11
1165	1165_2849	emma;mary;emma;emma;na;na;emma	mary	11
1165	1165_2848	emma;emma;emma;mary;sarah	mary	11
1165	1165_2846	emma;emma;emma;emma;emma;na;emma;jennifer;emma	mary	11
1165	1165_2847	mary;emma;emma;emma;sarah;emma;emma	mary	11
1165	1165_2850	emma;emma;emma;emma;emma;susan;na;madeline;emma	mary	11
1165	1165_2851	emma;emma;na;emma;emma;emma;emma;emma;sarah	mary	11
1165	1165_2842	emma;emma;mary;emma;emma;emma;emma;jen	mary	11
1165	1165_2844	na;mary;emma;emma;mary;emma;emma;emma	mary	11
1191	1191_4196	emma;emma;emma;maggie;anna;emma;emma;emma;http://sil.asc.upenn.edu/namegame	sarah	14
1191	1191_4207	emma;emma;emma;maggie;lisa;sierra	sarah	14
1191	1191_4197	emma;emma;emma;maggie	sarah	14
1191	1191_4206	emma;maggie;emma;emma;ashley;maggie	sarah	14
1191	1191_4202	emma;maggie;emma;emma;emma;ashley;maggie;marie;emma;sara;sally	sarah	14
1191	1191_4203	emma;emma;emma;emma;maggie;emma;emma;emma;emma;nina	sarah	14
1191	1191_4194	emma;emma;maggie	sarah	14
1191	1191_4205	emma;emma;emma;emma;emma;maggie;emma;emma	sarah	14
1191	1191_4201	emma;maggie;emma;emma;maggie;emma;sarah;maggie	sarah	14
1191	1191_4200	emma;emma;emma;emma;emma;emma;emma;emma;sarah;maggie;rachel	sarah	14
1191	1191_4204	emma;sarah;maggie;emma;na;emma	sarah	14
1191	1191_4195	sarah;sarah;sarah;sarah;sarah;sarah;emma;sarah;emma;sarah;emma;emma	sarah	14
1191	1191_4208	na;na;sarah;sarah;sarah;sarah;sarah;sarah;sarah;maggie;sally	sarah	14
151	151_7803	ashley;ashley;jennifer;ashley;claire;ashley;sarah	claire	12
151	151_8671	ashley;ashley;jennifer;claire;ashley	claire	12
151	151_7877	jennifer;jennifer;ashley;jennifer;jennifer;ashley;jennifer	claire	12
151	151_8193	ashley;jennifer;ashley;ally;jennifer	claire	12
151	151_8429	cchik;jennifer;ashley;claire	claire	12
151	151_7916	ashley;jennifer;jennifer;jennifer;jennifer;ashley;claire;tracy	claire	12
151	151_8267	ashley;ashley;na;jennifer;jennifer;jenna	claire	12
151	151_8396	jennifer;ashley;jennifer;na;jennifer;jennifer;na;laura	claire	12
151	151_8159	jennifer;jennifer;jennifer;jennifer;ashley;nobodies	claire	12
151	151_7879	jennifer;na;jennifer;jennifer	claire	12
151	151_7887	claire;jennifer;jennifer;jennifer;jennifer;cchik;na	claire	12
151	151_7770	jennifer;jennifer;jennifer;jennifer;jennifer;ashley;na	claire	12
151	151_7820	jennifer;claire;claire;claire;na;jennifer	claire	12
154	154_8020	jessica;jessica;jessica;jessica;jessica;jessica;amanda;sarah;jessica;ellie;sarah;sarah	jennifer	21
154	154_7903	jessica;sarah;jessica;jessica;jessica;sarah;sarah;emma;emily	jennifer	21
154	154_8213	jessica;jessica;sarah;jessica;jessica;jessica;sarah;sarah;jennifer;jessica	jennifer	21
154	154_8382	jessica;jessica;jessica;jessica;jessica;jen;jessica;amanda;jessica;emma;anne	jennifer	21
154	154_8613	jessica;jessica;jennifer;jessica;jessica;jessica;anne;anne;jessica;jessica;jessica;emma	jennifer	21
154	154_8317	jessica;jessica;sarah;jessica;na;jessica;sarah;jessica;anne;steph;beth	jennifer	21
154	154_8125	jessica;jessica;emma;sarah;sarah;jessica;jessica;jessica;jessica;amanda;natasha;amanda	jennifer	21
154	154_8422	jessica;jessica;jessica;jessica;jessica;jessica;jessica;sarah;jessica	jennifer	21
154	154_8239	jessica;jessica;jessica;jessica;jessica;jessica;sarah;jessica;jessica;na;jessica	jennifer	21
154	154_7914	jessica;jessica;sarah;sarah;emma;sarah;sarah;jessica;anne;jessica	jennifer	21
154	154_8645	jessica;jessica;na;jessica;jessica;rachel;sarah;jessica;sarah	jennifer	21
154	154_8083	jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;na;jessica;sarah;jessica	jennifer	21
154	154_7930	jessia;jessica;sarah;jessica;jessica;jessica;jessica;jessica;na;jennifer;jessica;mary	jennifer	21
154	154_8406	jessica;jessica;jessica;jessica;jessica;na;jessica;na;sarah;beth;jessic;jessica	jennifer	21
154	154_8300	jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;sarah;amanda	jennifer	21
154	154_8189	jessica;jessica;jessica;jessica;jessica;putsarahnext;jessica;jessica;jessica;jessica;na;jessica	jennifer	21
154	154_8216	jennifer;jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;sarah;jessica	jennifer	21
154	154_7999	jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;na;sarah	jennifer	21
154	154_8521	jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;jessica;na;na	jennifer	21
154	154_8186	jennifer;jessica;jessica;jessica;jessica;jessica;jessica;na;jessica;jessica;jessica;na	jennifer	21
