PRIOR_SCALAR	24_0.1	24_0.15	24_0.2	24_0.25	24_0.3	24_0.35	24_0.4	24_0.45	48_0.1	48_0.15	48_0.2	48_0.25	48_0.3	48_0.35	48_0.4	48_0.45	96_0.1	96_0.15	96_0.2	96_0.25	96_0.3	96_0.35	96_0.4	96_0.45
0.6 0.02	1000	1000	1000	NA	NA	NA	69	NA	1000	1000	1000	NA	NA	NA	NA	NA	1000	1000	1000	NA	NA	NA	NA	NA
0.6 0.07	1000	1000	1000	NA	NA	NA	40	15	1000	1000	1000	NA	NA	27	21	13	1000	1000	1000	NA	NA	NA	20	17
0.6 0.12	1000	1000	1000	NA	22	10	14	NA	1000	1000	1000	NA	NA	16	NA	12	1000	1000	1000	NA	NA	17	NA	NA
0.6 0.17	1000	1000	1000	53	11	NA	NA	NA	1000	1000	1000	NA	22	11	NA	NA	1000	1000	1000	32	15	9	NA	NA
0.6 0.22	1000	1000	1000	19	10	NA	NA	NA	1000	1000	1000	22	NA	NA	NA	NA	1000	1000	1000	12	9	NA	NA	NA
0.6 0.27	1000	1000	1000	22	29	NA	NA	NA	1000	1000	NA	10	14	NA	NA	NA	1000	1000	1000	15	NA	NA	NA	NA
0.6 0.32	1000	1000	NA	NA	NA	NA	NA	NA	1000	1000	NA	9	NA	NA	NA	NA	1000	1000	NA	12	NA	NA	NA	NA
0.6 0.37	1000	1000	NA	NA	NA	NA	NA	NA	1000	1000	1000	27	12	NA	NA	NA	1000	1000	NA	10	NA	NA	NA	NA
0.6 0.42	1000	NA	NA	NA	NA	NA	NA	NA	1000	1000	NA	NA	NA	NA	NA	NA	1000	1000	NA	NA	NA	NA	NA	NA
0.6 0.47	1000	NA	NA	NA	NA	NA	NA	NA	1000	NA	NA	NA	NA	NA	NA	NA	1000	1000	NA	NA	NA	NA	NA	NA
0.6 0.52	1000	NA	NA	NA	NA	NA	NA	NA	1000	1000	NA	NA	NA	NA	NA	NA	1000	1000	NA	NA	NA	NA	NA	NA
