exp	round_num	agentid	currname	saidbefore	heardbefore	denovo	saidsofar	heardsofar
CB2015-55	2	281	nicole	0	0	1	['emma', 'emma']	['lisa', 'julia']
CB2015-55	3	281	lisa	0	1	0	['emma', 'emma', 'nicole']	['lisa', 'julia', 'lisa']
CB2015-55	6	281	nicole	1	0	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen']
CB2015-55	7	281	julia	0	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia']
CB2015-55	8	281	nicole	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole']
CB2015-55	9	281	lisa	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa']
CB2015-55	13	281	julia	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia']
CB2015-55	15	281	lisa	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa']
CB2015-55	17	281	julia	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na']
CB2015-55	18	281	lisa	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane']
CB2015-55	19	281	julia	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia']
CB2015-55	20	281	lisa	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa']
CB2015-55	22	281	julia	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia', 'lisa', 'lisa']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa', 'julia', 'jane']
CB2015-55	25	281	jane	0	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia', 'lisa', 'lisa', 'julia', 'julia', 'julia']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa', 'julia', 'jane', 'lisa', 'julia', 'jane']
CB2015-55	26	281	julia	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia', 'lisa', 'lisa', 'julia', 'julia', 'julia', 'jane']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa', 'julia', 'jane', 'lisa', 'julia', 'jane', 'julia']
CB2015-55	27	281	jane	1	1	0	['emma', 'emma', 'nicole', 'lisa', 'lisa', 'lisa', 'nicole', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'lisa', 'julia', 'lisa', 'lisa', 'julia', 'julia', 'julia', 'jane', 'julia']	['lisa', 'julia', 'lisa', 'na', 'na', 'jen', 'julia', 'nicole', 'lisa', 'lisa', 'lisa', 'julia', 'julia', 'lisa', 'lisa', 'julia', 'na', 'jane', 'julia', 'lisa', 'julia', 'jane', 'lisa', 'julia', 'jane', 'julia', 'na']
